country_name,country_text_id,aut_ep_id,onset,end,outcome,censored,paper_onset,paper_peak,paper_type,status
Afghanistan,AFG,AFG_2021_2025,2021.0,2025.0,3.0,1.0,2021.0,2022.0,coup,onset_matches_ert
Argentina,ARG,ARG_2024_2025,2024.0,2025.0,4.0,1.0,,,,in_ert_absent_from_paper_set
Armenia,ARM,ARM_2020_2025,2020.0,2025.0,4.0,1.0,,,,in_ert_absent_from_paper_set
Bangladesh,BGD,BGD_2002_2007,2002.0,2007.0,1.0,0.0,2007.0,2024.0,backsliding,onset_differs
Bangladesh,BGD,BGD_2013_2018,2013.0,2018.0,3.0,0.0,,,,in_ert_absent_from_paper_set
Belarus,BLR,BLR_2020_2025,2020.0,2025.0,3.0,1.0,1996.0,2024.0,backsliding,onset_differs
Benin,BEN,BEN_2018_2021,2018.0,2021.0,1.0,0.0,2019.0,2023.0,backsliding,onset_within_2yr
Bolivia,BOL,BOL_2006_2020,2006.0,2020.0,1.0,0.0,2019.0,2022.0,backsliding,onset_differs
Bosnia and Herzegovina,BIH,BIH_2004_2007,2004.0,2007.0,2.0,0.0,,,,in_ert_absent_from_paper_set
Botswana,BWA,BWA_2015_2022,2015.0,2022.0,2.0,0.0,2021.0,2024.0,backsliding,onset_differs
Brazil,BRA,BRA_2015_2019,2015.0,2019.0,2.0,0.0,2019.0,2022.0,backsliding,onset_differs
Burkina Faso,BFA,BFA_2014_2015,2014.0,2015.0,1.0,0.0,2022.0,2022.0,coup,onset_differs
Burkina Faso,BFA,BFA_2018_2025,2018.0,2025.0,1.0,1.0,,,,in_ert_absent_from_paper_set
Burma/Myanmar,MMR,MMR_2021_2025,2021.0,2025.0,3.0,1.0,2021.0,2022.0,coup,onset_matches_ert
Burundi,BDI,BDI_2010_2016,2010.0,2016.0,3.0,0.0,,,,in_ert_absent_from_paper_set
Cambodia,KHM,KHM_2016_2025,2016.0,2025.0,3.0,1.0,2017.0,2024.0,backsliding,onset_within_2yr
Central African Republic,CAF,CAF_2003_2004,2003.0,2004.0,3.0,0.0,,,,in_ert_absent_from_paper_set
Central African Republic,CAF,CAF_2019_2025,2019.0,2025.0,3.0,1.0,,,,in_ert_absent_from_paper_set
Chad,TCD,TCD_2017_2022,2017.0,2022.0,3.0,0.0,2021.0,2022.0,coup,onset_differs
Comoros,COM,COM_1999_2000,1999.0,2000.0,3.0,0.0,,,,in_ert_absent_from_paper_set
Comoros,COM,COM_2015_2020,2015.0,2020.0,3.0,0.0,,,,in_ert_absent_from_paper_set
Croatia,HRV,HRV_2013_2025,2013.0,2025.0,4.0,1.0,,,,in_ert_absent_from_paper_set
Czechia,CZE,CZE_2013_2021,2013.0,2021.0,2.0,0.0,,,,in_ert_absent_from_paper_set
Ecuador,ECU,ECU_2007_2013,2007.0,2013.0,2.0,0.0,,,,in_ert_absent_from_paper_set
Egypt,EGY,EGY_2013_2014,2013.0,2014.0,3.0,0.0,2013.0,2014.0,coup,onset_matches_ert
El Salvador,SLV,SLV_2018_2025,2018.0,2025.0,1.0,1.0,2019.0,2024.0,backsliding,onset_within_2yr
Fiji,FJI,FJI_2000_2001,2000.0,2001.0,1.0,0.0,,,,in_ert_absent_from_paper_set
Fiji,FJI,FJI_2006_2007,2006.0,2007.0,3.0,0.0,2006.0,2007.0,coup,onset_matches_ert
Gabon,GAB,GAB_2018_2024,2018.0,2024.0,3.0,0.0,2023.0,2024.0,coup,onset_differs
Georgia,GEO,GEO_2017_2025,2017.0,2025.0,1.0,1.0,2024.0,2025.0,backsliding,onset_differs
Ghana,GHA,GHA_2013_2021,2013.0,2021.0,2.0,0.0,,,,in_ert_absent_from_paper_set
Greece,GRC,GRC_2020_2025,2020.0,2025.0,4.0,1.0,2020.0,2024.0,backsliding,onset_matches_ert
Guatemala,GTM,GTM_2018_2022,2018.0,2022.0,2.0,0.0,,,,in_ert_absent_from_paper_set
Guinea,GIN,GIN_2019_2025,2019.0,2025.0,3.0,1.0,2009.0,2010.0,coup,onset_differs
Guinea-Bissau,GNB,GNB_2012_2013,2012.0,2013.0,3.0,0.0,2012.0,2013.0,coup,onset_matches_ert
Guinea-Bissau,GNB,GNB_2022_2022,2022.0,2022.0,1.0,0.0,,,,in_ert_absent_from_paper_set
Guinea-Bissau,GNB,GNB_2024_2025,2024.0,2025.0,3.0,1.0,,,,in_ert_absent_from_paper_set
Guyana,GUY,GUY_2019_2025,2019.0,2025.0,4.0,1.0,2021.0,2023.0,backsliding,onset_within_2yr
Haiti,HTI,HTI_2001_2004,2001.0,2004.0,3.0,0.0,,,,in_ert_absent_from_paper_set
Haiti,HTI,HTI_2020_2025,2020.0,2025.0,3.0,1.0,2022.0,2024.0,coup,onset_within_2yr
Honduras,HND,HND_2006_2010,2006.0,2010.0,1.0,0.0,2009.0,2010.0,coup,onset_differs
Hong Kong,HKG,HKG_2016_2025,2016.0,2025.0,3.0,1.0,,,,in_ert_absent_from_paper_set
Hungary,HUN,HUN_2006_2025,2006.0,2025.0,1.0,1.0,2010.0,2018.0,backsliding,onset_differs
India,IND,IND_2009_2025,2009.0,2025.0,1.0,1.0,2014.0,2024.0,backsliding,onset_differs
Indonesia,IDN,IDN_2009_2025,2009.0,2025.0,1.0,1.0,2024.0,2025.0,backsliding,onset_differs
Italy,ITA,ITA_2019_2025,2019.0,2025.0,4.0,1.0,,,,in_ert_absent_from_paper_set
Ivory Coast,CIV,CIV_2000_2000,2000.0,2000.0,3.0,0.0,,,,in_ert_absent_from_paper_set
Ivory Coast,CIV,CIV_2020_2025,2020.0,2025.0,1.0,1.0,2020.0,2022.0,backsliding,onset_matches_ert
Kenya,,,,,,,2007.0,2008.0,backsliding,paper_addition_not_in_ert
Kuwait,KWT,KWT_2021_2025,2021.0,2025.0,3.0,1.0,,,,in_ert_absent_from_paper_set
